id,belief_text,category,status,discovered_date,transformation_date,alternative_belief,notes
71,"Я боюсь изменений в жизни","Страх неизвестности, Избегание","Обнаружено","","","Изменения — часть роста, я справлюсь с ними",""
72,"Я устал от жизни/от неудач/от сложностей","Выгорание, Безнадежность","Обнаружено","","","Я забочусь о себе и нахожу поддержку в трудные моменты",""
73,"Я недостоин получать удовольствие, подарки, радости","Низкая самооценка, Чувство вины","Обнаружено","","","Я достоин радости, любви и хорошего в своей жизни",""
74,"По карьерной лестнице не пробиться, двигают только своих","Выученная беспомощность, Внешний локус контроля","Обнаружено","","","Есть разные пути карьерного роста, я создаю возможности",""
75,"Хоть сто пядей во лбу, начальник никогда тебя не похвалит","Безнадежность, Сверхобобщение","Обнаружено","","","Я делаю качественную работу независимо от внешнего признания",""
76,"На работе инициатива наказуема, лучше не бери на себя лишнего","Страх последствий, Избегание","Обнаружено","","","Я оцениваю риски и проявляю инициативу в подходящих ситуациях",""
77,"Нельзя быть в коллективе «самым умным», этого никто не любит","Социальный страх, Самоограничение","Обнаружено","","","Я могу проявлять компетентность и быть скромным",""
78,"Работа не волк, в лес не убежит","Прокрастинация, Оправдание","Обнаружено","","","Я планирую и выполняю задачи своевременно",""
79,"Хороших начальников не бывает","Сверхобобщение, Негативизм","Обнаружено","","","Есть разные руководители, я ищу подходящую среду",""
80,"Никогда не признавайся в своих ошибках, а то накажут","Страх последствий, Защита","Обнаружено","","","Признание ошибок показывает зрелость и способствует росту",""
81,"Никому никогда не помогай, это к добру не приведет","Недоверие, Защита","Обнаружено","","","Я помогаю, когда хочу и могу, устанавливая здоровые границы",""
82,"Любое сказанное слово против тебя обернется","Паранойя, Недоверие","Обнаружено","","","Я говорю осознанно и не боюсь здоровой коммуникации",""
83,"Мой опыт никому не нужен","Обесценивание себя, Импостер-синдром","Обнаружено","","","Мой опыт ценен и может быть полезен другим",""
84,"Вокруг полно более молодых и успешных","Сравнение, Обесценивание","Обнаружено","","","У каждого свой путь, я фокусируюсь на своем росте",""
85,"С такой внешностью не работать в этой профессии","Ограничивающее убеждение, Низкая самооценка","Обнаружено","","","Профессионализм важнее внешности в большинстве сфер",""
86,"Во столько лет на хорошую работу не устроиться","Ограничивающее убеждение о возрасте, Безнадежность","Обнаружено","","","Опыт и навыки ценны в любом возрасте",""
87,"Хоть «3 копейки», но зато свои, и два раза в месяц","Страх риска, Безопасность","Обнаружено","","","Стабильность важна, И я могу искать возможности роста",""
88,"Лучше стабильно получать 30 тысяч в офисе, чем шагать в неизвестность","Страх изменений, Безопасность","Обнаружено","","","Я оцениваю риски и принимаю осознанные решения о карьере",""
89,"Работа не бывает интересной","Сверхобобщение, Безнадежность","Обнаружено","","","Есть работа, которая соответствует моим интересам и ценностям",""
90,"Работать на себя слишком рискованно","Страх риска, Избегание","Обнаружено","","","Риски есть везде, я оцениваю и выбираю осознанно",""
